SEZ2011;MURATURA PORTANTE;CALCESTRUZZO ARMATO;MATERIALE (LEGNO, ACCIAIO…);PRIMA 1919;1919-1945;1946-1960;1961-1970;1971-1980;1981-1990;1991-2000;2001-2005;DOPO 2005;EDIFICI RES. STATO OTTIMO;EDIFICI RES. STATO BUONO;EDIFICI RES. STATO MEDIOCRE;EDIFICI RES. STATO PESSIMO
151460001662;4;4;0;2;1;1;4;0;0;0;0;0;8;0;0;0
151460001663;7;5;1;6;3;2;2;0;0;0;0;0;13;0;0;0
151460001664;4;4;0;1;5;1;0;0;0;0;1;0;7;1;0;0
151460001665;5;2;0;1;3;1;2;0;0;0;0;0;7;0;0;0
151460001666;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
151460001667;5;5;3;2;4;4;3;0;0;0;0;0;13;0;0;0
151460001668;3;1;0;0;3;1;0;0;0;0;0;0;4;0;0;0
151460001669;3;4;5;0;6;6;0;0;0;0;0;0;12;0;0;0
151460001670;7;2;1;5;2;1;2;0;0;0;0;0;10;0;0;0
151460001671;8;0;0;8;0;0;0;0;0;0;0;0;8;0;0;0
151460001672;1;9;6;0;0;13;2;0;0;0;1;0;16;0;0;0
151460001673;32;0;0;28;4;0;0;0;0;0;0;0;31;1;0;0
151460001674;4;8;0;4;3;5;0;0;0;0;0;0;12;0;0;0
151460001675;4;1;0;4;0;0;0;0;0;0;1;0;5;0;0;0
151460001676;0;3;0;0;0;0;3;0;0;0;0;0;3;0;0;0
151460001677;0;7;0;0;0;1;6;0;0;0;0;0;7;0;0;0
151460001678;0;13;0;0;0;1;12;0;0;0;0;0;8;5;0;0
151460001679;1;13;1;1;1;0;13;0;0;0;0;0;12;3;0;0
151460001680;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151460001681;1;4;0;0;0;1;4;0;0;0;0;0;5;0;0;0
151460001682;0;8;0;0;0;0;8;0;0;0;0;0;8;0;0;0
151460001683;0;4;0;0;2;2;0;0;0;0;0;0;3;1;0;0
151460001684;1;4;0;0;4;1;0;0;0;0;0;0;1;4;0;0
151460001685;0;6;0;0;6;0;0;0;0;0;0;0;0;6;0;0
151460001686;0;3;0;0;3;0;0;0;0;0;0;0;2;1;0;0
151460001687;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
151460001688;3;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0
151460001689;3;5;0;0;3;3;1;0;0;0;0;1;8;0;0;0
151460001690;5;7;1;0;6;5;2;0;0;0;0;0;13;0;0;0
151460001691;14;3;4;2;17;1;1;0;0;0;0;0;18;3;0;0
151460001692;0;4;0;0;4;0;0;0;0;0;0;0;4;0;0;0
151460001693;5;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0
151460001694;0;5;0;0;0;0;5;0;0;0;0;0;1;4;0;0
151460001695;6;0;1;0;6;1;0;0;0;0;0;0;7;0;0;0
151460001696;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
151460001697;2;3;1;0;4;2;0;0;0;0;0;0;6;0;0;0
151460001698;12;3;0;0;10;5;0;0;0;0;0;0;13;2;0;0
151460001699;2;13;1;0;4;6;6;0;0;0;0;0;16;0;0;0
151460001700;2;12;0;0;0;2;12;0;0;0;0;0;12;2;0;0
151460001701;6;5;1;0;7;5;0;0;0;0;0;0;12;0;0;0
151460001702;1;7;1;0;3;6;0;0;0;0;0;0;9;0;0;0
151460001703;0;6;0;0;3;3;0;0;0;0;0;0;6;0;0;0
151460001704;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
151460001705;2;7;1;0;2;8;0;0;0;0;0;0;10;0;0;0
151460001706;1;10;2;0;2;7;4;0;0;0;0;0;13;0;0;0
151460001707;0;3;0;0;3;0;0;0;0;0;0;0;3;0;0;0
151460001708;0;5;0;0;5;0;0;0;0;0;0;0;3;2;0;0
151460001709;0;3;0;0;2;1;0;0;0;0;0;0;2;1;0;0
151460001710;0;3;0;0;2;1;0;0;0;0;0;0;1;1;1;0
151460001711;1;4;2;0;2;5;0;0;0;0;0;0;7;0;0;0
151460001712;1;4;0;0;1;4;0;0;0;0;0;0;5;0;0;0
151460001713;0;4;0;0;0;3;1;0;0;0;0;0;4;0;0;0
151460001714;0;5;0;0;0;4;1;0;0;0;0;0;5;0;0;0
151460001715;0;3;0;0;0;0;3;0;0;0;0;0;3;0;0;0
151460001716;0;5;0;0;0;5;0;0;0;0;0;0;0;5;0;0
151460001717;0;6;0;0;0;4;2;0;0;0;0;0;6;0;0;0
151460001718;1;8;2;0;3;8;0;0;0;0;0;0;11;0;0;0
151460001719;0;7;1;0;1;7;0;0;0;0;0;0;8;0;0;0
151460001720;0;7;0;0;0;7;0;0;0;0;0;0;7;0;0;0
151460001721;4;6;1;0;3;5;3;0;0;0;0;0;11;0;0;0
151460001722;0;7;2;0;0;6;3;0;0;0;0;0;9;0;0;0
151460001723;0;7;0;0;0;7;0;0;0;0;0;0;7;0;0;0
151460001724;1;10;1;0;2;10;0;0;0;0;0;0;12;0;0;0
151460001725;7;5;0;0;7;2;3;0;0;0;0;0;12;0;0;0
151460001726;4;5;1;2;1;6;1;0;0;0;0;0;9;1;0;0
151460001727;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0
151460001729;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0
151460001730;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0
151460001731;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0
151460001732;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0
151460001733;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151460001734;1;0;1;0;1;1;0;0;0;0;0;0;0;2;0;0
151460001735;2;2;0;0;0;2;1;0;0;1;0;0;2;2;0;0
151460001736;13;0;0;0;10;2;0;0;0;0;1;0;4;8;1;0
151460001737;13;1;0;0;5;5;1;0;0;0;2;1;4;10;0;0
151460001738;3;2;0;0;2;1;2;0;0;0;0;0;0;3;2;0
151460001739;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151460001740;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
151460001741;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0
151460001742;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
151460001743;0;0;4;0;1;3;0;0;0;0;0;0;0;4;0;0
151460001744;0;1;6;0;0;6;1;0;0;0;0;0;0;4;3;0
151460001745;0;0;4;0;0;4;0;0;0;0;0;0;0;3;1;0
151460001746;1;1;11;0;10;3;0;0;0;0;0;0;1;9;3;0
151460001747;1;1;7;0;1;5;3;0;0;0;0;0;2;7;0;0
151460001748;0;0;9;0;0;5;4;0;0;0;0;0;0;9;0;0
151460001749;0;1;10;0;0;6;4;1;0;0;0;0;0;8;3;0
151460001750;0;0;6;0;1;5;0;0;0;0;0;0;0;5;1;0
151460001751;0;0;6;0;0;3;3;0;0;0;0;0;0;6;0;0
151460001752;0;0;9;0;0;7;2;0;0;0;0;0;0;7;2;0
151460001753;0;0;3;0;0;3;0;0;0;0;0;0;0;2;1;0
151460001754;1;0;1;1;1;0;0;0;0;0;0;0;0;2;0;0
151460001755;2;0;14;0;0;13;1;0;2;0;0;0;2;10;4;0
151460001756;0;1;9;0;3;6;0;0;0;1;0;0;1;3;6;0
151460001757;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0
151460001758;0;0;12;0;0;8;4;0;0;0;0;0;0;4;8;0
151460001759;0;0;7;0;0;5;2;0;0;0;0;0;0;5;2;0
151460001760;1;0;17;0;2;9;7;0;0;0;0;0;3;10;5;0
151460001761;0;0;6;0;0;5;0;0;0;0;1;0;1;5;0;0
151460001762;3;1;3;0;0;5;2;0;0;0;0;0;0;7;0;0
151460001763;1;0;4;0;0;4;1;0;0;0;0;0;0;5;0;0
151460001764;0;0;11;0;0;10;0;0;1;0;0;0;0;7;4;0
151460001765;1;0;9;1;0;6;1;2;0;0;0;0;2;6;2;0
151460001766;0;0;9;0;0;0;9;0;0;0;0;0;0;9;0;0
151460001767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151460001768;0;0;11;0;0;3;7;1;0;0;0;0;1;5;5;0
151460001769;0;0;17;0;0;6;11;0;0;0;0;0;0;15;2;0
151460001770;0;0;9;0;0;4;5;0;0;0;0;0;1;4;4;0
151460001771;0;0;11;0;0;8;3;0;0;0;0;0;0;10;1;0
151460001772;0;0;26;0;6;18;0;1;1;0;0;0;1;21;4;0
151460001773;1;0;13;0;0;7;7;0;0;0;0;0;1;9;4;0
151460001774;0;0;4;0;0;1;3;0;0;0;0;0;0;2;2;0
151460001775;1;2;7;0;0;6;4;0;0;0;0;0;0;7;3;0
151460001776;0;0;8;0;0;0;4;4;0;0;0;0;0;6;2;0
151460001777;0;0;9;0;0;0;9;0;0;0;0;0;0;8;1;0
151460001778;15;1;0;1;10;4;1;0;0;0;0;0;16;0;0;0
151460001779;8;0;10;3;8;6;1;0;0;0;0;0;2;13;3;0
151460001780;14;0;1;0;13;1;1;0;0;0;0;0;0;11;4;0
151460001781;10;3;2;0;10;2;3;0;0;0;0;0;0;15;0;0
151460001782;3;0;3;1;2;2;1;0;0;0;0;0;0;6;0;0
151460001783;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
151460001784;9;1;1;1;7;1;1;0;1;0;0;0;9;2;0;0
151460001785;21;2;2;1;15;7;2;0;0;0;0;0;0;23;2;0
151460001786;15;2;0;5;8;3;1;0;0;0;0;0;0;17;0;0
151460001787;8;0;1;0;5;4;0;0;0;0;0;0;0;9;0;0
151460001788;5;1;1;0;5;0;1;0;0;1;0;0;2;4;1;0
151460001789;7;0;0;4;0;0;0;0;0;3;0;0;6;1;0;0
151460001790;0;5;0;0;0;2;3;0;0;0;0;0;5;0;0;0
151460001791;6;5;0;4;1;5;1;0;0;0;0;0;11;0;0;0
151460001792;6;0;2;0;6;2;0;0;0;0;0;0;0;3;5;0
151460001793;14;0;1;0;13;1;1;0;0;0;0;0;1;1;13;0
151460001794;5;0;8;1;5;5;2;0;0;0;0;0;10;2;1;0
151460001795;5;7;0;1;2;2;6;0;0;1;0;0;11;1;0;0
151460001796;8;5;0;3;2;3;3;2;0;0;0;0;13;0;0;0
151460001797;11;3;1;2;8;4;0;0;0;1;0;0;13;1;1;0
151460001798;7;5;0;2;5;3;0;0;0;2;0;0;12;0;0;0
151460001799;10;7;0;1;8;6;0;1;1;0;0;0;16;1;0;0
151460001800;4;0;0;0;1;3;0;0;0;0;0;0;3;1;0;0
151460001801;0;9;0;0;0;9;0;0;0;0;0;0;9;0;0;0
151460001802;15;1;0;0;14;2;0;0;0;0;0;0;16;0;0;0
151460001803;5;4;0;0;2;0;6;1;0;0;0;0;9;0;0;0
151460001804;9;4;0;0;6;7;0;0;0;0;0;0;13;0;0;0
151460001805;12;7;2;0;2;12;4;3;0;0;0;0;21;0;0;0
151460001806;14;8;0;0;0;16;6;0;0;0;0;0;21;1;0;0
151460001807;6;5;0;5;0;1;5;0;0;0;0;0;8;3;0;0
151460001808;7;5;0;6;1;1;1;1;0;2;0;0;9;2;1;0
151460001809;21;8;0;12;9;1;4;0;0;1;1;1;27;2;0;0
151460001810;10;5;0;3;8;1;1;1;0;1;0;0;7;7;1;0
151460001811;7;9;0;6;1;0;4;2;0;1;2;0;13;3;0;0
151460001812;5;4;1;3;2;4;0;0;0;0;1;0;7;3;0;0
151460001813;5;7;0;4;1;4;1;0;1;0;0;1;7;5;0;0
151460001814;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
151460001815;2;6;0;0;2;2;3;0;0;0;0;1;6;2;0;0
151460001816;1;7;0;0;1;0;6;0;0;1;0;0;1;6;0;1
151460001817;2;4;0;0;2;0;3;0;0;0;1;0;3;3;0;0
151460001818;0;7;0;0;0;5;1;0;0;0;0;1;5;2;0;0
151460001819;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0
151460001820;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
151460001821;1;4;0;0;1;1;1;0;1;1;0;0;2;3;0;0
151460001822;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0
151460001823;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0
151460001824;0;5;0;0;0;5;0;0;0;0;0;0;0;5;0;0
151460001825;0;10;0;0;0;10;0;0;0;0;0;0;1;8;1;0
151460001826;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0
151460001827;0;4;0;0;0;4;0;0;0;0;0;0;3;1;0;0
151460001828;0;3;0;0;0;0;3;0;0;0;0;0;0;2;1;0
151460001829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151460001830;0;8;0;0;0;0;1;5;2;0;0;0;1;7;0;0
151460001831;0;5;0;0;0;0;0;1;2;0;2;0;3;2;0;0
151460001832;0;5;0;0;0;0;0;4;1;0;0;0;5;0;0;0
151460001833;0;4;0;0;0;0;1;1;1;0;0;1;3;1;0;0
151460001834;0;4;0;0;0;0;1;0;3;0;0;0;2;2;0;0
151460001835;1;3;0;0;0;4;0;0;0;0;0;0;3;1;0;0
151460001836;0;3;0;0;0;1;0;2;0;0;0;0;0;3;0;0
151460001837;0;7;0;0;0;3;4;0;0;0;0;0;7;0;0;0
151460001838;1;0;2;0;2;0;0;1;0;0;0;0;2;1;0;0
151460001839;5;0;0;0;0;1;0;4;0;0;0;0;1;4;0;0
151460001840;5;0;0;0;0;0;5;0;0;0;0;0;0;5;0;0
151460001841;4;0;0;0;0;0;0;0;4;0;0;0;0;4;0;0
151460001842;6;0;0;0;0;0;6;0;0;0;0;0;0;6;0;0
151460001843;3;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0
151460001844;5;0;0;0;0;0;5;0;0;0;0;0;0;5;0;0
151460001845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151460001846;4;0;0;0;0;0;0;0;4;0;0;0;0;4;0;0
151460001847;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151460001848;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
151460001849;5;0;0;0;0;0;0;3;2;0;0;0;0;5;0;0
151460001850;1;6;0;0;1;4;1;0;1;0;0;0;0;7;0;0
151460001851;0;3;0;0;0;3;0;0;0;0;0;0;0;3;0;0
151460001852;1;4;0;0;0;1;0;1;3;0;0;0;1;4;0;0
151460001853;12;0;1;3;1;5;0;4;0;0;0;0;5;8;0;0
151460001854;5;0;0;0;0;0;4;0;0;1;0;0;0;5;0;0
151460001855;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0
151460001856;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
151460001857;6;0;0;1;0;0;1;1;0;3;0;0;0;5;1;0
151460001858;7;0;0;0;1;0;1;5;0;0;0;0;3;4;0;0
151460001859;5;0;0;0;0;0;5;0;0;0;0;0;0;1;4;0
151460001860;5;0;0;0;0;0;5;0;0;0;0;0;1;0;4;0
151460001861;5;0;0;0;0;0;5;0;0;0;0;0;0;5;0;0
151460001862;8;0;0;0;0;6;1;1;0;0;0;0;0;6;2;0
151460001863;2;0;2;0;2;2;0;0;0;0;0;0;0;4;0;0
151460001865;7;0;0;0;0;7;0;0;0;0;0;0;0;7;0;0
151460001866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151460001867;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0
151460001868;5;0;1;0;1;1;0;4;0;0;0;0;0;6;0;0
151460001869;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
151460001870;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0
151460001871;5;0;0;0;0;3;2;0;0;0;0;0;0;5;0;0
151460001872;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151460001873;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
151460001874;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0
151460001875;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
151460001876;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
151460001877;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
151460001878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151460001880;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151460001881;7;1;1;4;4;1;0;0;0;0;0;0;2;3;4;0
151460001882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151460001883;2;1;1;0;3;1;0;0;0;0;0;0;0;4;0;0
151460001884;3;0;1;0;4;0;0;0;0;0;0;0;0;4;0;0
151460001885;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0
151460001886;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0
151460001887;0;0;8;0;0;0;1;7;0;0;0;0;0;8;0;0
151460001888;0;0;7;0;0;0;0;7;0;0;0;0;0;7;0;0
151460001889;0;0;5;0;0;0;0;5;0;0;0;0;0;5;0;0
151460001890;0;0;6;0;0;0;0;6;0;0;0;0;0;6;0;0
151460001891;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0
151460001892;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0
151460001893;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0
151460001894;0;0;3;0;0;0;0;3;0;0;0;0;1;2;0;0
151460001895;0;3;0;0;0;0;3;0;0;0;0;0;0;3;0;0
151460001896;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0
151460001897;0;4;0;0;0;0;4;0;0;0;0;0;0;4;0;0
151460001898;0;4;0;0;0;0;4;0;0;0;0;0;0;4;0;0
151460001899;0;0;3;0;1;1;1;0;0;0;0;0;1;2;0;0
151460001900;1;0;10;0;5;6;0;0;0;0;0;0;0;4;7;0
151460001901;1;0;6;1;1;3;1;1;0;0;0;0;2;5;0;0
151460001902;0;0;3;0;0;3;0;0;0;0;0;0;0;3;0;0
151460001903;1;0;3;0;0;4;0;0;0;0;0;0;1;2;1;0
151460001904;1;0;3;0;0;2;2;0;0;0;0;0;1;3;0;0
151460001905;8;0;4;1;0;8;3;0;0;0;0;0;7;5;0;0
151460001906;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0
151460001907;0;3;0;0;0;0;1;2;0;0;0;0;0;3;0;0
151460001908;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0
151460001909;0;4;0;0;0;0;0;2;0;2;0;0;2;2;0;0
151460001910;4;4;1;1;2;2;0;3;1;0;0;0;1;8;0;0
151460001911;0;9;1;0;0;2;6;1;0;0;0;1;10;0;0;0
151460001912;0;3;0;0;0;1;2;0;0;0;0;0;3;0;0;0
151460001913;1;6;0;0;0;1;4;2;0;0;0;0;5;2;0;0
151460001914;5;6;1;0;3;2;4;2;0;1;0;0;7;5;0;0
151460001915;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0
151460001916;7;0;5;0;1;6;4;0;1;0;0;0;0;11;1;0
151460001917;5;3;0;1;3;1;0;0;0;3;0;0;3;5;0;0
151460001918;5;1;0;2;3;0;0;0;0;0;0;1;2;3;1;0
151460001919;0;0;5;0;0;1;4;0;0;0;0;0;0;5;0;0
151460001920;16;0;6;1;5;11;3;2;0;0;0;0;13;3;5;1
151460001921;8;0;5;2;2;6;0;2;1;0;0;0;7;3;3;0
151460001922;3;0;2;0;1;3;0;1;0;0;0;0;3;1;1;0
151460001923;9;0;8;2;1;5;0;5;2;0;2;0;5;6;6;0
151460001924;14;0;0;4;6;4;0;0;0;0;0;0;1;10;3;0
151460001925;6;8;0;2;4;1;0;4;0;0;1;2;5;4;5;0
151460001926;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
151460001927;4;2;0;0;1;5;0;0;0;0;0;0;1;1;4;0
151460001928;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0
151460001929;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0
151460001930;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151460001931;1;0;1;0;0;2;0;0;0;0;0;0;0;2;0;0
151460001932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151460001933;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
151460001935;5;1;0;0;1;3;0;0;1;0;1;0;3;2;1;0
151460001936;5;15;1;0;0;6;7;2;0;0;4;2;15;6;0;0
151460001937;9;2;0;5;3;3;0;0;0;0;0;0;9;2;0;0
151460001938;1;3;0;0;0;0;2;0;0;2;0;0;4;0;0;0
151460001939;4;1;0;0;3;1;0;0;0;1;0;0;2;3;0;0
151460001940;1;11;0;0;0;7;1;2;0;0;2;0;11;0;1;0
151460001941;6;0;2;0;6;0;0;0;0;0;0;2;3;5;0;0
151460001942;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
151460001943;2;1;1;0;3;0;0;1;0;0;0;0;2;2;0;0
151460001944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151460001945;1;2;0;0;0;1;2;0;0;0;0;0;2;1;0;0
151460001946;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0
151460001947;0;4;0;0;0;1;3;0;0;0;0;0;4;0;0;0
151460001948;0;5;0;0;0;0;5;0;0;0;0;0;5;0;0;0
151460001949;0;2;1;0;1;0;2;0;0;0;0;0;2;1;0;0
151460001950;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151460001951;7;9;3;0;19;0;0;0;0;0;0;0;15;4;0;0
151460001952;4;17;0;0;3;1;15;1;0;0;0;1;20;1;0;0
151460001953;11;1;0;0;8;4;0;0;0;0;0;0;8;4;0;0
151460001954;2;0;1;0;1;2;0;0;0;0;0;0;0;3;0;0
151460001955;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
151460001956;8;3;5;1;7;6;1;0;0;0;0;1;11;4;1;0
151460001957;4;0;0;1;0;3;0;0;0;0;0;0;2;1;1;0
151460001958;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
151460001959;0;3;0;0;0;0;0;2;1;0;0;0;3;0;0;0
151460001960;2;4;1;0;5;0;1;1;0;0;0;0;4;3;0;0
151460001961;2;10;1;0;2;4;7;0;0;0;0;0;12;1;0;0
151460001962;1;6;0;0;3;1;0;2;0;0;1;0;7;0;0;0
151460001963;3;0;0;0;3;0;0;0;0;0;0;0;2;1;0;0
151460001964;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0
151460001965;4;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0
151460001966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151460001967;6;0;0;5;0;1;0;0;0;0;0;0;5;0;1;0
151460001968;8;0;1;4;2;3;0;0;0;0;0;0;8;1;0;0
151460001969;2;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0
151460001970;2;0;5;1;3;3;0;0;0;0;0;0;5;1;0;1
151460001971;5;5;0;3;0;2;4;0;0;0;1;0;9;0;1;0
151460001972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151460001973;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0
151460006069;0;2;1;0;0;0;0;0;0;0;3;0;3;0;0;0
151460006070;0;2;1;0;0;0;0;0;0;0;3;0;3;0;0;0
151460006071;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0
151460006072;0;3;0;0;0;0;0;0;0;0;3;0;3;0;0;0
151460006073;0;3;0;0;0;0;0;0;0;0;3;0;3;0;0;0
151460006074;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
